Имя,С единственным автором,В соавторстве,Количество вариантов имён (single),Количество вариантов имён (multiple),Варианты имён (single),Картинки,Варианты имён (multiple)
-,-,-,-,-,-,7928:2371,Крутовский и Козлов
Крутовский М.,1,0,1,0,Крутовский М,-,-
Куб М.,1,0,1,0,Куб,-,-
Кузнецов,1,0,1,0,Кузнецов,-,-
Кузнецов Алексей Кириллович,1,0,1,0,Кузнецов А,-,-
Кузнецов Иннокентий Петрович,4,0,1,0,Кузнецов И,-,-
Кузнецова А.,5,0,1,0,Кузнецова А,-,-
Кузнецова Д.,1,0,1,0,Кузнецова,-,-
Кулишер М.,1,0,1,0,Кулишер,-,-
Кунанбаев Нуеман Азимбаевич,3,0,1,0,Кунанбаев,-,-
Курский Михаил Онисифорович,8,0,1,0,Курский,-,-
Кусков Петр Иванович,1,0,1,0,Кусков,-,-
Кускова А.,2,0,1,0,Кускова А,-,-
Кускова Виктория,1,0,1,0,Кускова В,-,-
Кутузова Е.,1,0,1,0,Кутузова,-,-
Кучковская Е.,1,0,1,0,Кучковская,-,-
Кюрганова,1,0,1,0,Кюрганова,-,-
Кёлькенбек А.М.,1,0,1,0,Кёлькенбек,-,-
Лабаринская М.,1,0,1,0,Лабаринская,-,-
Лаби Поль,1,0,1,0,Лаби,-,-
Лаврентьев О.,0,1,0,1,-,7928:1464,"Клеменцы, Ошурковы"
Лавров Иван Александрович,2,0,2,0,Лавров,-,-
-,-,-,-,-,Лавров И,-,-
Лаврова А.,1,0,1,0,Лаврова,-,-
Лаврова М.,2,0,2,0,Лаврова М,-,-
-,-,-,-,-,Лаврова,-,-
Лаврская Антонина Викторовна,4,1,1,1,Лаврская А,7928:670,Лаврские А и В
Лаврская Екатерина Васильевна,6,1,1,1,Лаврская Е,7928:1903,Потанина А
Лаврский Аркадий Валерианович,6,0,1,0,Лаврский А,-,-
Лаврский Валериан Викторович,17,2,1,2,Лаврский В,7928:670,Лаврские А и В
-,-,-,-,-,-,7928:1912,Миклашевская
Лаврский Константин Викторович,15,1,1,1,Лаврский К,7928:2198,"Лаврский, Свентицкая, Тейтель"
"Лаврский Лев Викторович, священник",1,0,1,0,Лаврский Л,-,-
Ладыгин Вениамин Федорович,2,0,1,0,Ладыгин,-,-
Лазари Де Александр Николаевич,3,0,1,0,Лазари,-,-
Лаптев Иннокентий Павлович,3,2,1,2,Лаптев,7928:1514,"Лаптев, Коншин и др"
-,-,-,-,-,-,7928:1536,"Лаптев, Коншин"
Ларуш А.,2,0,1,0,Ларуш,-,-
Левентон Анатолий Львович,2,0,1,0,Левентон,-,-
Левин,1,0,1,0,Левин,-,-
Лемке Михаил Константинович,1,0,1,0,Лемке,-,-
Леонович (Ангарский) Василий Викторович,15,0,3,0,Леонтович В,-,-
-,-,-,-,-,Леонович,-,-
-,-,-,-,-,Леонович В,-,-
Леонович М.,1,0,1,0,Леонович М,-,-
Леонтович Владимир,0,1,0,1,-,7928:1897,Леонтовичи
Леонтович Юлия Владимировна,2,1,1,1,Леонтович Ю,7928:1897,Леонтовичи
Леонтьев,1,0,1,0,Леонтьев,-,-
Лесевич Владимир Викторович,8,0,1,0,Лесевич В,-,-
